,urls,address,m2,rooms,toilets,prices,latitude,longitude
228,https://www.portalinmobiliario.com/MLC-541132047-nuncio-laghi-nunoa-chile-_JM#position=6&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Nuncio Laghi, Ñuñoa, Chile, Ñuñoa ",55,2,2,500000,-33.45681,-70.57268
229,https://www.portalinmobiliario.com/arriendo/departamento/vitacura-metropolitana/5528480-espoz-vitacura-uda#position=7&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Espoz / Vitacura, Vitacura ",70,2,2,800000,-33.3965352,-70.6002538
231,https://www.portalinmobiliario.com/MLC-540814737-las-nieves-vitacura-chile-_JM#position=9&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Las Nieves, Vitacura, Chile, Vitacura ",74,2,2,620000,-33.4033439,-70.5923602
232,https://www.portalinmobiliario.com/arriendo/departamento/las-condes-metropolitana/5776222-pedro-de-gamboalas-condes-uda#position=10&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Pedro De Gamboa / Las Condes, Las Condes ",125,3,3,800000,-33.4003559,-70.5574971
233,https://www.portalinmobiliario.com/arriendo/departamento/macul-metropolitana/5712046-vicente-huidobro-macul-uda#position=11&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Vicente Huidobro / Macul, Macul ",51,2,2,410000,-33.4875759,-70.5966571
236,https://www.portalinmobiliario.com/MLC-541450948-quinta-710-quilpue-chile-_JM#position=15&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Quinta 710, Quilpué, Chile, Quilpué ",84,3,2,550000,-33.04386155,-71.45729744650811
237,https://www.portalinmobiliario.com/arriendo/departamento/vina-del-mar-valparaiso/5765142-las-golondrinas-1731-uda#position=16&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Las Golondrinas 1731, Viña Del Mar ",70,2,2,470000,-32.9583768,-71.5430382
239,https://www.portalinmobiliario.com/MLC-541290226-mario-kreutzberger-santiago-chile-_JM#position=18&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Mario Kreutzberger, Santiago, Chile, Santiago ",33,1,1,260000,-33.4358919,-70.6598841
241,https://www.portalinmobiliario.com/MLC-540982036-morande-617-santiago-chile-_JM#position=20&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Morandé 617, Santiago, Chile, Santiago ",34,1,1,250000,-33.436229524,-70.654086268
243,https://www.portalinmobiliario.com/arriendo/departamento/vitacura-metropolitana/5730682-avenida-vitacura-5421-uda#position=22&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Avenida Vitacura 5421, Vitacura ",80,3,2,595000,-33.3969284,-70.5823513
244,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5725081-eleuterio-ramirez-1024-uda#position=23&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Eleuterio Ramírez 1024, Santiago ",50,2,1,270000,-33.449167461935446,-70.64966360199818
245,https://www.portalinmobiliario.com/MLC-541462961-doctor-pedro-lautaro-ferrer-providencia-chile-_JM#position=24&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Doctor Pedro Lautaro Ferrer, Providencia, Chile, Providencia ",72,2,2,600000,-33.4443684,-70.5991652
247,https://www.portalinmobiliario.com/MLC-541306644-avenida-manuel-montt-12-providencia-chile-_JM#position=26&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Avenida Manuel Montt 12, Providencia, Chile, Providencia ",72,2,2,480000,-33.4433564,-70.6146584
