fecha descarga,fecha publicacion,titulo,direccion,descripcion,ambiente,comodidades,otras caracteristicas,orientacion,antiguedad,m2 totales,m2_utiles,habitaciones,banos,estacionamiento,bodega,piso de apartamento,cantidad de pisos edificio,apartamentos por piso,gastos comunes,precio,url,latitude,longitude,City
2020-10-02,28-09-2020,"Roberto Espinoza 973, Santiago, Chile, Parque Almagro, Santiago","Roberto Espinoza 973, Santiago, Chile","OPORTUNIDAD PRECIO REBAJADO POR CONTINGENCIA. Se arrienda Departamento con vista a la cordillera 2 dormitorios 1 baño. Estacionamiento. Trato directamente con dueño. Cercano a colegios, centros de salud, supermercados, parques y áreas verdes. Cercano a dos estaciones de metro.",Cocina; Comedor; Living; Recepción,Conserjería 24 horas; Ascensor; Estacionamiento de visitas; Salón de fiestas; Salón de usos múltiples; Lavandería,Agua corriente; Closets; Gas natural,O,17 años,46 m²,46 ,2,1,1,,5,12,8,55000 ,370000,https://www.portalinmobiliario.com/MLC-549444798-roberto-espinoza-973-santiago-chile-_JM#position=11&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.45837824242424,-70.65287655454546,Santiago
2020-10-02,01-10-2020,"Rosas 2599, Santiago, Chile, Barrio Yungay, Santiago","Rosas 2599, Santiago, Chile","Se arrienda departamento a cuatro cuadras de metro Cumming, como nuevo 45m2, “full electric” con dos habitaciones, un baño, cocina americana equipada con campana, horno eléctrico y encimera eléctrica, amplia terraza, conexión para lavadora y un estacionamiento en subterráneo. El edificio cuenta con gimnasio, piscina, sala multiuso, centro de lavado y estacionamientos de visitas. El departamento está situado cerca de supermercados, restoranes, bares, centros culturales, museos y parques. Valor 352.000 más gasto común de 63.000. Disponibilidad a partir de 17 de Octubre.Requisitos: - Contrato a efectuarse por un año, mes de adelanto más mes de garantía. Año documentado con 11 cheques. - Últimas tres liquidaciones de sueldo. - Copia Contrato de trabajo.- Fotocopia cédula de identidad.- En caso de aval, mismos requisitos anteriores.",Cocina; Comedor; Jardín; Living; Terraza; Recepción; Balcón,Conserjería 24 horas; Piscina; Gimnasio; Ascensor; Estacionamiento de visitas; Roof garden; Salón de fiestas; Salón de usos múltiples; Acceso a internet; Lavandería,Agua corriente; Closets; TV por cable,S,5 años,49 m²,45 ,2,1,1,,2,4,4,63000 ,352000,https://www.portalinmobiliario.com/MLC-550018893-rosas-2599-santiago-chile-_JM#position=12&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.4367856,-70.6725498,Santiago
2020-10-02,30-09-2020,"Bandera 898, Santiago, Chile, Centro Histórico De Santiago, Santiago","Bandera 898, Santiago, Chile",,Cocina; Dormitorio en suite; Homeoffice; Living; Terraza; Baño de visitas; Walk-in clóset; Recepción; Balcón,Conserjería 24 horas; Piscina; Gimnasio; Ascensor; Estacionamiento de visitas; Salón de fiestas; Salón de usos múltiples; Calefacción; Lavandería,Closets,,8 años,60 m²,50 ,2,2,,,3,,,70000 ,400351,https://www.portalinmobiliario.com/MLC-549860914-bandera-898-santiago-chile-_JM#position=13&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.4334412,-70.6531755,Santiago
2020-10-02,16-09-2020,"San Martín 413, Santiago, Chile, Centro Histórico De Santiago, Santiago","San Martín 413, Santiago, Chile","Excelente ubicación, amoblado, muy cómodo y tranquilo, seguridad y vigilancia 24/7, locomoción a la puerta y a una cuadra de metro Santa Ana. tv cable HD, internet ilimitado y wifi de alta velocidad. Vale la pena verlo",Cocina; Comedor; Dormitorio en suite; Homeoffice; Living; Playroom; Terraza; Baño de visitas; Recepción; Balcón,Conserjería 24 horas; Parrilla; Gimnasio; Área de juegos infantiles; Ascensor; Business center; Roof garden; Salón de fiestas; Salón de usos múltiples; Calefacción; Acceso a internet; Aire acondicionado,Agua corriente; Amoblado; Closets; TV por cable; Gas natural,,12 años,72 m²,72 ,2,2,1,,1,19,9,62000 ,560000,https://www.portalinmobiliario.com/MLC-547254089-san-martin-413-santiago-chile-_JM#position=14&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.43847372857143,-70.65809489183674,Santiago
2020-10-02,09-09-2020,"Serrano 633, Santiago, Chile, San Diego, Santiago","Serrano 633, Santiago, Chile","Hermoso departamento de 38 metros cuadrados, con excelente ubicación. 1D, 1B, bodega y estacionamiento. DEPARTAMENTO: - Cocina tipo americana con cubierta de granito - Dormitorio principal en suite y walk in closet - Living- Terraza- Alarma- Espacio para lavadora-Ventanas termopanel-26 puestos de estacionamiento para visita -Enfermería en área de piscina TerminacionesPiso baños: cerámicaPiso dormitorios: piso foto laminadoESPACIOS COMUNES:- Piscina- Quincho- Gimnasio- Bicicleteros- Acceso controlado- Estacionamiento de visita- Citofono- Sala multiuso- Portón eléctrico- Sala de niños-Lavandería ALREDEDORESUbicación excelente y muy buena locomoción. Metro Parque Almagro a una cuadra y Metro U Chile a 10 minutos caminando.Supermercados, papelerías, librerías, farmacias cerca.VALOR ARRIENDO: 350 000",Cocina; Dormitorio en suite; Living; Terraza; Walk-in clóset; Recepción; Balcón,Conserjería 24 horas; Piscina; Área de juegos infantiles; Salón de fiestas; Salón de usos múltiples; Lavandería,Agua corriente,,1 años,38 m²,38 ,1,1,1,1,9,9,,50000 ,350000,https://www.portalinmobiliario.com/MLC-545529910-serrano-633-santiago-chile-_JM#position=15&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.45286686666667,-70.64782583333333,Santiago
2020-10-02,27-07-2020,"Lira 140, Santiago, Chile, Santa Isabel, Santiago","Lira 140, Santiago, Chile","Se arrienda departamento amoblado en calle Lira 140. Cuenta con cama, refrigerador nuevo y cocina equipada. Espacio para lavadora. Se entrega recién pintado A pasos del centro médico UC y Casa Central. Cercano a metro Universidad Católica. Gastos Comunes: $36.000Edificio cuenta con lavandería, gimnasio y piscina.",Cocina; Living; Recepción,Conserjería 24 horas; Piscina; Gimnasio; Ascensor; Estacionamiento de visitas; Salón de usos múltiples; Lavandería,Agua corriente; Amoblado,S,,34 m²,34 ,1,1,,1,12,,,36000 ,320000,https://www.portalinmobiliario.com/MLC-538393873-lira-140-santiago-chile-_JM#position=16&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.4445095,-70.6405555,Santiago
2020-10-02,25-09-2020,"General Jofré 70, Santiago, Chile, Santa Isabel, Santiago","General Jofré 70, Santiago, Chile","Precioso e impecable departamento de 2 ambientes con estacionamiento y bodega.Edificio Seguro y tranquilo.Living con cocina americana amoblada y equipada con encimera de 2 platos, horno eléctrico, campana extractora.Dormitorio en Suite  con walking closet y baño completo.Terraza en Living y dormitorioEstacionamiento y bodega en subterráneo.EQUIPAMIENTO EDIFICIO:Piscina panorámica,Quincho para asados,Lavandería,Salón Multiusos,Salón de computación.Conserjería 24/7Estacionamientos de visita.ENTORNO EDIFICIO:2  cuadras Metro BaquedanoCercano Parque BaquedanoCentro médico cercano.Excelente conectividad vialCercano a Universidades tradicionales.ferias abastos cercana.Sector tranquilo  y familiar.REQUISITOS ARRIENDO:3 últimas liquidaciones de sueldoCopia contrato de trabajoFotocopia cédula de identidadCertificado Dicom Platinum 360 sin protestos ni documentos no aclarados.Aval ídem todo lo anterior.",Cocina; Dormitorio en suite; Jardín; Living; Terraza; Walk-in clóset; Recepción; Balcón,Conserjería 24 horas; Parrilla; Piscina; Ascensor; Cisterna; Estacionamiento de visitas; Salón de usos múltiples; Calefacción; Acceso a internet; Lavandería,Agua corriente; Gas natural,,10 años,35 m²,39 ,1,1,1,1,7,13,5,60000 ,300000,https://www.portalinmobiliario.com/MLC-549000339-general-jofre-70-santiago-chile-_JM#position=17&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.44435503488372,-70.63387762790697,Santiago
2020-10-02,24-09-2020,"José Victorino Lastarria 70, Santiago, Chile, Barrio Lastarria, Santiago","José Victorino Lastarria 70, Santiago, Chile","$450.000 Barrio Lastarria (Boulevard Lastarria 70) top, 2 dormitorios, 2 baños, walking closet, impecable, Metro Universidad Católica. El precio no incluye estacionamiento. Se aceptan animales. Trato directo con el dueño (sin corredora de por medio). Los gastos comunes están en $100.000 pesos mensuales aproximadamente (incluye en los gastos comunes el agua caliente de caldera)",Cocina; Comedor; Dormitorio en suite; Living; Baño de visitas; Walk-in clóset; Recepción,Conserjería 24 horas; Ascensor; Acceso a internet; Lavandería,Agua corriente; Closets; TV por cable; Gas natural,S,10 años,58 m²,58 ,2,2,,,,7,,100000 ,450000,https://www.portalinmobiliario.com/MLC-548764171-jose-victorino-lastarria-70-santiago-chile-_JM#position=18&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.4395753,-70.6414972,Santiago
2020-10-02,23-09-2020,"General Mackenna 1555, Santiago, Chile, Centro Histórico De Santiago, Santiago","General Mackenna 1555, Santiago, Chile","SOLO WhatsApp !  No responde por llamadas.Se arrienda dpto NUEVO, 4 tipos. Todos son de 2 dormitorios y 2 baños.Arriendo se incluye 1 bodega. luz LED instalado. Dormitorio principal en suite. Cocina íntegra con espacio para lavadora.Proyecto de Almagro, ubicación de Santiago centro. cerca del metro Cal y Canto y la Santa Ana. Edificio con alta seguridad de 24 horas., lavandería completa con lavadora y secadora. Juego infantiles, gimnasio, sala multiuso, guincho y piscina! Garantía de arriendo es 500.000,-**No acepta mascota**No se permite clavos en ningún muro.",Recepción,Conserjería 24 horas; Área de juegos infantiles; Salón de fiestas; Salón de usos múltiples; Lavandería,,,,52 m²,55 ,2,2,1,1,,,,60000 ,380000,https://www.portalinmobiliario.com/MLC-548416624-general-mackenna-1555-santiago-chile-_JM#position=19&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.43323303333333,-70.65972956666667,Santiago
2020-10-02,24-09-2020,"General Jofré, Santiago, Chile, Santa Isabel, Santiago","General Jofré, Santiago, Chile","Departamento de 40m2, orientación oriente, en una ubicación privilegiada, barrio tranquilo, cercano a Supermercados, farmacias, bancos, muy buena conectividad. Departamento en 4º piso, 1 dormitorios con piso flotante, 1 baño, Amplio living comedor, cocina amoblada, conexión a gas natural, estacionamiento con portón automáticoGastos comunes aproximado $40.000. Disponibilidad Inmediata, solo para fines habitacional.",Cocina; Comedor; Jardín; Living; Terraza; Balcón,Agua corriente; Closets; Gas natural,,O,,40 m²,40 ,1,1,1,,,4,3,40000 ,340000,https://www.portalinmobiliario.com/MLC-548779507-general-jofre-santiago-chile-_JM#position=20&type=item&tracking_id=da2d2e91-20dd-4a0c-a61b-d13f43df0e21,-33.4453077,-70.6371228,Santiago
